No,URL,Product ID,Category,Product name,Product code,SKU,Shade name,Shade code,Hex code,Price (₹),Stock,Quantity,Tagline,Short description,Description,Key benefits,Ingredients,How to Use,Caution,Shipping and Delivery,Product link
1,https://github.com/StaytunedLLP/itsme.fashion/issues/342,EeT3iEm26aYK6fg4AlUl,eyes,Kajal,Kajal,ITS-EYE-KAJ-BLK-1.5G,Black,Black,#000000,599,500,1.5gm,The Zenith of dark,"Define your eyes with It's Me Kajal, the ultimate long-lasting, waterproof, and smudge-proof eye essential!","Define your eyes with It's Me Kajal, the ultimate long-lasting, waterproof, and smudge-proof eye essential! With its intensely pigmented ultra-black formula, this kajal glides on effortlessly in one smooth stroke, delivering bold, high-impact definition. Enriched with nourishing ingredients, it keeps your eyes comfortable, making it ideal for sensitive eyes and contact lens wearers. Whether you want a sharp, precise look or a sultry smoky effect, this kajal is your go-to for 24-hour drama and elegance.","24-Hour Long-Wear – Stays intact without smudging or fading.
Waterproof & Sweat-Resistant – Perfect for all-day wear, even in humid conditions.
Ultra-Black Pigments – Deep, intense color payoff in just one swipe.
Smooth & Glide-On Formula – No tugging or pulling, ensuring a seamless application.
Safe for Sensitive Eyes – Gentle and irritation-free, suitable for contact lens wearers.","Aqua, Pearl Powder, Glycerine, Hydroxyethyl Acrylate, Sodium Acryloyldimethy Taurate Copolymer, Carbomer, Triethanolamine, Phenoxyethanol, Mica, Silica.","Twist up the kajal and apply along the waterline or lash line, starting from the inner corner and moving outward.
For a bold look, layer multiple strokes to intensify the color.
For a smoky effect, smudge gently with a brush or fingertip immediately after application.
Close the cap tightly after use to maintain its smooth, creamy texture.","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
2,https://github.com/StaytunedLLP/itsme.fashion/issues/343,nxzfFnfF3YQAO7xGPlen,eyes,Mascara,Mascara,ITS-EYE-MAS-BLK-8M,Black,Black,#000000,699,500,8.0 ml,Unleash your lashes,"Achieve bold, voluminous lashes with the It's Me Volumizing Mascara!","Achieve bold, voluminous lashes with the It's Me Volumizing Mascara! This intensely black, waterproof, and smudge-proof formula adds instant length, lift, and 3D volume to your lashes. The specially designed Mega Brush ensures clump-free application, coating every lash from root to tip for a dramatic, eye-opening effect. Lightweight yet long-wearing, this mascara lasts all day without flaking or smudging, making it perfect for any occasion. Whether you want natural definition or full-glam drama, this mascara delivers unbeatable lift and curl for an effortlessly stunning look.","Instant Volume & Length – Buildable formula for bold, fuller lashes in just a few strokes.
Long-Lasting & Smudge-Proof – Stays intact for up to 18 hours without flaking or fading.
Waterproof & Sweat-Resistant – Ideal for all-day wear, even in humidity.
Mega Brush for Even Application – Separates & defines each lash for a clump-free, fanned-out effect.
Ultra-Black Pigmentation – Deep jet black color enhances lash definition for a striking look.","Aqua, GMS SE, Cera Alba, Carnauba Wax. Acrylates/Octylacrylamide Copolymer, Propylene Glycol, Xanthan Gum, Magnesium, Aluminium Silicate, Disodium EDTA, Phenoxyethanol May Contain: DGC Black No. 2 (CI 77266), Iron Oxide Black (CI 77499)","Start at the base of your lashes and wiggle the brush upward to coat each lash evenly.
Build layers for added volume, ensuring each coat is applied before the previous one dries.
For extra lift, apply an extra coat to the tips of your lashes.","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
3,https://github.com/StaytunedLLP/itsme.fashion/issues/344,Rga6hhcZ8m4t7FS2koTV,eyes,Eyeliner,Eyeliner,ITS-EYE-EYL-BLK-5M,Black,Black,#000000,699,500,5.0 ml,Don't just look be seen,"Define your eyes with the ultimate precision and bold intensity using ""It's Me"" Precision Eyeliner.","Define your eyes with the ultimate precision and bold intensity using ""It's Me"" Precision Eyeliner. Designed for effortless application, this ultra-black, waterproof, and smudge-proof eyeliner delivers long-lasting wear with a matte, jet-black finish. Whether you want a sleek everyday look or bold, dramatic wings, the precision felt-tip applicator glides smoothly for a flawless, mistake-proof application. Quick-drying and lightweight, it stays put all day without fading or smudging, giving you the perfect eye definition from morning to night.","Jet-Black Intensity – Richly pigmented formula delivers a deep, bold black finish.
Smudge-Proof & Waterproof – Stays intact through humidity, sweat, and long hours without smearing.
Quick-Drying Formula – No waiting, sets in seconds for a mess-free application.
Precision Tip for Effortless Application – Glides smoothly, allowing for thin or bold lines with complete control.
Long-Lasting Wear – Up to 24-hour hold, so your eyeliner stays fresh and crisp all day.","Aqua, Pearl Powder, Glycerine, Hydroxyethyl Acrylate, Sodium Acryloyldimethy Taurate Copolymer, Carbomer, Triethanolamine, Phenoxyethanol, Mica, Silica.","Shake well before use to ensure smooth application.
Start from the inner corner of your eye and glide the applicator along the lash line, extending outward for a winged effect if desired.
Allow it to dry for a few seconds for a smudge-proof, long-lasting finish.","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
4,https://github.com/StaytunedLLP/itsme.fashion/issues/345,1M5DxRcUI9qpJUC3LWgV,lips,Lip Gloss,LIPGL01,ITS-LIP-LGL-401-3.5G,Invisible Glow,401,#ffffff,999,500,3.5 gms,A touch of luxury a splash of shine,"Elevate your lip game with ""It's Me"" Lip Gloss, the perfect blend of mirror-like shine, deep hydration, and weightless comfort.","Elevate your lip game with ""It's Me"" Lip Gloss, the perfect blend of mirror-like shine, deep hydration, and weightless comfort. Unlike traditional sticky glosses, our formula glides on smoothly, leaving lips soft, nourished, and visibly plumper. Whether you're going for a subtle everyday glow or a bold, glossy statement, our buildable formula delivers long-lasting, luscious lips. Infused with Vitamin E, Jojoba Oil, Shea Butter, and Aloe Vera Extract, this gloss hydrates while enhancing your natural beauty—giving you the ultimate high-shine, kissable pout!","High-Gloss Shine – Delivers a mirror-like finish for instantly fuller-looking lips.
Deep Hydration & Nourishment – Enriched with Shea Butter, Jojoba Oil, and Vitamin E to keep lips soft & smooth.
Non-Sticky & Lightweight – Feels silky, comfortable, and breathable all day long.
Sheer to Buildable Coverage – Wear alone for a subtle glow or layer over lipstick for intensified shine.
Flattering Shades for All Skin Tones – From nude elegance to bold brights, find your perfect gloss.","Hydrogenated Polyisobutene, Polybutene, Octyldodecanol, Dimethicone, Castor Oil, Shea Butter, Jojoba Oil, Coconut Oil, Vitamin E, Beeswax, Mica, Titanium Dioxide, Iron Oxides, Red/Yellow/Blue Lake Dyes, Aloe Vera Extract, Fragrance.","Apply directly onto clean, bare lips for a fresh, glossy look.
Layer over your favorite lipstick for a plumping, high-shine effect.
Reapply as needed to keep lips hydrated and glossy throughout the day.","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
5,https://github.com/StaytunedLLP/itsme.fashion/issues/346,1M5DxRcUI9qpJUC3LWgV,lips,Lip Gloss,LIPGL02,ITS-LIP-LGL-402-3.5G,Orchid,402,#a84c63,999,500,3.5 gms,A touch of luxury a splash of shine,"Elevate your lip game with ""It's Me"" Lip Gloss, the perfect blend of mirror-like shine, deep hydration, and weightless comfort.","Elevate your lip game with ""It's Me"" Lip Gloss, the perfect blend of mirror-like shine, deep hydration, and weightless comfort. Unlike traditional sticky glosses, our formula glides on smoothly, leaving lips soft, nourished, and visibly plumper. Whether you're going for a subtle everyday glow or a bold, glossy statement, our buildable formula delivers long-lasting, luscious lips. Infused with Vitamin E, Jojoba Oil, Shea Butter, and Aloe Vera Extract, this gloss hydrates while enhancing your natural beauty—giving you the ultimate high-shine, kissable pout!","High-Gloss Shine – Delivers a mirror-like finish for instantly fuller-looking lips.
Deep Hydration & Nourishment – Enriched with Shea Butter, Jojoba Oil, and Vitamin E to keep lips soft & smooth.
Non-Sticky & Lightweight – Feels silky, comfortable, and breathable all day long.
Sheer to Buildable Coverage – Wear alone for a subtle glow or layer over lipstick for intensified shine.
Flattering Shades for All Skin Tones – From nude elegance to bold brights, find your perfect gloss.","Hydrogenated Polyisobutene, Polybutene, Octyldodecanol, Dimethicone, Castor Oil, Shea Butter, Jojoba Oil, Coconut Oil, Vitamin E, Beeswax, Mica, Titanium Dioxide, Iron Oxides, Red/Yellow/Blue Lake Dyes, Aloe Vera Extract, Fragrance.","Apply directly onto clean, bare lips for a fresh, glossy look.
Layer over your favorite lipstick for a plumping, high-shine effect.
Reapply as needed to keep lips hydrated and glossy throughout the day.","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
6,https://github.com/StaytunedLLP/itsme.fashion/issues/347,1M5DxRcUI9qpJUC3LWgV,lips,Lip Gloss,LIPGL03,ITS-LIP-LGL-403-3.5G,Sunset Glow,403,#7a0735,999,500,3.5 gms,A touch of luxury a splash of shine,"Elevate your lip game with ""It's Me"" Lip Gloss, the perfect blend of mirror-like shine, deep hydration, and weightless comfort.","Elevate your lip game with ""It's Me"" Lip Gloss, the perfect blend of mirror-like shine, deep hydration, and weightless comfort. Unlike traditional sticky glosses, our formula glides on smoothly, leaving lips soft, nourished, and visibly plumper. Whether you're going for a subtle everyday glow or a bold, glossy statement, our buildable formula delivers long-lasting, luscious lips. Infused with Vitamin E, Jojoba Oil, Shea Butter, and Aloe Vera Extract, this gloss hydrates while enhancing your natural beauty—giving you the ultimate high-shine, kissable pout!","High-Gloss Shine – Delivers a mirror-like finish for instantly fuller-looking lips.
Deep Hydration & Nourishment – Enriched with Shea Butter, Jojoba Oil, and Vitamin E to keep lips soft & smooth.
Non-Sticky & Lightweight – Feels silky, comfortable, and breathable all day long.
Sheer to Buildable Coverage – Wear alone for a subtle glow or layer over lipstick for intensified shine.
Flattering Shades for All Skin Tones – From nude elegance to bold brights, find your perfect gloss.","Hydrogenated Polyisobutene, Polybutene, Octyldodecanol, Dimethicone, Castor Oil, Shea Butter, Jojoba Oil, Coconut Oil, Vitamin E, Beeswax, Mica, Titanium Dioxide, Iron Oxides, Red/Yellow/Blue Lake Dyes, Aloe Vera Extract, Fragrance.","Apply directly onto clean, bare lips for a fresh, glossy look.
Layer over your favorite lipstick for a plumping, high-shine effect.
Reapply as needed to keep lips hydrated and glossy throughout the day.","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
7,https://github.com/StaytunedLLP/itsme.fashion/issues/348,1M5DxRcUI9qpJUC3LWgV,lips,Lip Gloss,LIPGL04,ITS-LIP-LGL-404-3.5G,Sand Dune,404,#7a3d36,999,500,3.5 gms,A touch of luxury a splash of shine,"Elevate your lip game with ""It's Me"" Lip Gloss, the perfect blend of mirror-like shine, deep hydration, and weightless comfort.","Elevate your lip game with ""It's Me"" Lip Gloss, the perfect blend of mirror-like shine, deep hydration, and weightless comfort. Unlike traditional sticky glosses, our formula glides on smoothly, leaving lips soft, nourished, and visibly plumper. Whether you're going for a subtle everyday glow or a bold, glossy statement, our buildable formula delivers long-lasting, luscious lips. Infused with Vitamin E, Jojoba Oil, Shea Butter, and Aloe Vera Extract, this gloss hydrates while enhancing your natural beauty—giving you the ultimate high-shine, kissable pout!","High-Gloss Shine – Delivers a mirror-like finish for instantly fuller-looking lips.
Deep Hydration & Nourishment – Enriched with Shea Butter, Jojoba Oil, and Vitamin E to keep lips soft & smooth.
Non-Sticky & Lightweight – Feels silky, comfortable, and breathable all day long.
Sheer to Buildable Coverage – Wear alone for a subtle glow or layer over lipstick for intensified shine.
Flattering Shades for All Skin Tones – From nude elegance to bold brights, find your perfect gloss.","Hydrogenated Polyisobutene, Polybutene, Octyldodecanol, Dimethicone, Castor Oil, Shea Butter, Jojoba Oil, Coconut Oil, Vitamin E, Beeswax, Mica, Titanium Dioxide, Iron Oxides, Red/Yellow/Blue Lake Dyes, Aloe Vera Extract, Fragrance.","Apply directly onto clean, bare lips for a fresh, glossy look.
Layer over your favorite lipstick for a plumping, high-shine effect.
Reapply as needed to keep lips hydrated and glossy throughout the day.","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
8,https://github.com/StaytunedLLP/itsme.fashion/issues/349,zBaKa0GDG0Ds7FfoWYSp,face,Pro+ Finishing Powder,PROPOW1,ITS-FAC-PFP-01-15G,Diamond Dust,1,#f7f3f2,799,500,15 gms,A sprinkle of magic,"Achieve a flawless, shine-free complexion with ""It's Me"" Pro+ Finishing Powder—the ultimate lightweight setting powder for a soft-focus, airbrushed look.","Achieve a flawless, shine-free complexion with ""It's Me"" Pro+ Finishing Powder—the ultimate lightweight setting powder for a soft-focus, airbrushed look. Designed to blur imperfections, control oil, and lock makeup in place, this ultra-fine powder blends seamlessly into the skin without feeling heavy or cakey. Whether you're setting foundation or going for a natural, even finish, this powder delivers a matte, photo-ready glow that lasts all day. Available in versatile shades to complement every skin tone, it’s your secret to long-lasting, flawless perfection.","Matte & Shine-Free Finish – Controls oil and absorbs excess shine for a fresh, natural look.
Blurring & Soft-Focus Effect – Minimizes the appearance of pores, fine lines, and texture instantly.
Lightweight & Buildable – Ultra-fine, breathable powder sets makeup without caking or settling into creases.
Long-Lasting Wear – Keeps your makeup locked in place for extended hours, preventing smudging and fading.
Universal Shades – Expertly crafted to suit all skin tones, blending seamlessly for a flawless finish","Talc, Mica, Dimethicon, Vinyl Dimethicon, Crosspolymer And Silica, Potassium Sorbate, Color Additives-ci 77492","For Setting Makeup – Use a fluffy brush or powder puff to lightly dust over foundation and concealer for a locked-in, shine-free finish.
For Oil Control – Apply to the T-zone and oily areas throughout the day for instant touch-ups.
For a Natural Look – Wear alone on bare skin to blur imperfections and even out complexion.","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
9,https://github.com/StaytunedLLP/itsme.fashion/issues/350,zBaKa0GDG0Ds7FfoWYSp,face,Pro+ Finishing Powder,PROPOW2,ITS-FAC-PFP-02-15G,Lemon Zest,2,#e8dba2,799,500,15 gms,A sprinkle of magic,"Achieve a flawless, shine-free complexion with ""It's Me"" Pro+ Finishing Powder—the ultimate lightweight setting powder for a soft-focus, airbrushed look.","Achieve a flawless, shine-free complexion with ""It's Me"" Pro+ Finishing Powder—the ultimate lightweight setting powder for a soft-focus, airbrushed look. Designed to blur imperfections, control oil, and lock makeup in place, this ultra-fine powder blends seamlessly into the skin without feeling heavy or cakey. Whether you're setting foundation or going for a natural, even finish, this powder delivers a matte, photo-ready glow that lasts all day. Available in versatile shades to complement every skin tone, it’s your secret to long-lasting, flawless perfection.","Matte & Shine-Free Finish – Controls oil and absorbs excess shine for a fresh, natural look.
Blurring & Soft-Focus Effect – Minimizes the appearance of pores, fine lines, and texture instantly.
Lightweight & Buildable – Ultra-fine, breathable powder sets makeup without caking or settling into creases.
Long-Lasting Wear – Keeps your makeup locked in place for extended hours, preventing smudging and fading.
Universal Shades – Expertly crafted to suit all skin tones, blending seamlessly for a flawless finish","Talc, Mica, Dimethicon, Vinyl Dimethicon, Crosspolymer And Silica, Potassium Sorbate, Color Additives-ci 77493","For Setting Makeup – Use a fluffy brush or powder puff to lightly dust over foundation and concealer for a locked-in, shine-free finish.
For Oil Control – Apply to the T-zone and oily areas throughout the day for instant touch-ups.
For a Natural Look – Wear alone on bare skin to blur imperfections and even out complexion.","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
10,https://github.com/StaytunedLLP/itsme.fashion/issues/351,zBaKa0GDG0Ds7FfoWYSp,face,Pro+ Finishing Powder,PROPOW3,ITS-FAC-PFP-03-15G,Dream Weaver,3,#d4987f,799,500,15 gms,A sprinkle of magic,"Achieve a flawless, shine-free complexion with ""It's Me"" Pro+ Finishing Powder—the ultimate lightweight setting powder for a soft-focus, airbrushed look.","Achieve a flawless, shine-free complexion with ""It's Me"" Pro+ Finishing Powder—the ultimate lightweight setting powder for a soft-focus, airbrushed look. Designed to blur imperfections, control oil, and lock makeup in place, this ultra-fine powder blends seamlessly into the skin without feeling heavy or cakey. Whether you're setting foundation or going for a natural, even finish, this powder delivers a matte, photo-ready glow that lasts all day. Available in versatile shades to complement every skin tone, it’s your secret to long-lasting, flawless perfection.","Matte & Shine-Free Finish – Controls oil and absorbs excess shine for a fresh, natural look.
Blurring & Soft-Focus Effect – Minimizes the appearance of pores, fine lines, and texture instantly.
Lightweight & Buildable – Ultra-fine, breathable powder sets makeup without caking or settling into creases.
Long-Lasting Wear – Keeps your makeup locked in place for extended hours, preventing smudging and fading.
Universal Shades – Expertly crafted to suit all skin tones, blending seamlessly for a flawless finish","Talc, Mica, Dimethicon, Vinyl Dimethicon, Crosspolymer And Silica, Potassium Sorbate, Color Additives-ci 77494","For Setting Makeup – Use a fluffy brush or powder puff to lightly dust over foundation and concealer for a locked-in, shine-free finish.
For Oil Control – Apply to the T-zone and oily areas throughout the day for instant touch-ups.
For a Natural Look – Wear alone on bare skin to blur imperfections and even out complexion.","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
11,https://github.com/StaytunedLLP/itsme.fashion/issues/352,2j0ssMKrfg83R0eQ6ZtQ,face,Compact Powder,COM111,ITS-FAC-CPD-111-10G,Natural Beauty,111,#f7debe,"1,199",500,10 gms,Flowless in a flash,Say goodbye to unwanted shine and hello to a flawless matte finish with It's Me Compact Powder!,"Say goodbye to unwanted shine and hello to a flawless matte finish with It's Me Compact Powder! This ultra-lightweight formula absorbs excess oil, blurs imperfections, and sets your makeup for an all-day fresh, airbrushed look. Designed for all skin types, it offers a breathable, non-cakey feel that blends seamlessly for natural, even-toned skin. Whether you wear it alone or over foundation, expect a smooth, photo-ready finish that lasts! Available in versatile shades to match every skin tone.","Long-Lasting Oil Control – Absorbs excess oil for a shine-free look all day.
Flawless Matte Finish – Smooths skin texture, blurring pores & fine lines instantly.
Feather-Light & Breathable – Feels ultra-comfortable, never cakey or heavy.
Buildable, Custom Coverage – Wear it lightly for a natural look or layer for extra coverage.
Dermatologist-Tested & Suitable for All Skin Types – Gentle, non-clogging formula ideal for daily use","Talc, Calcium Carbonate, Titanium Dioxide, Zinc Oxide, Zinc Stearate, Kaolin, Dimithicone-350, Capryl Glycol, Octyl Methoxycinnamate (OMC), Magnesium Stearate, Tocopheryl Acetate, Aqua May Contain CI 77891, CI 77491, CI 77492, CI 77499","Use a soft brush or sponge to gently press the powder onto your skin.
Apply on T-zone (forehead, nose, chin) for the best oil control.
Wear alone for a fresh, natural look or over foundation for a flawless matte finish.
Reapply as needed throughout the day for touch-ups & extra oil absorption","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
12,https://github.com/StaytunedLLP/itsme.fashion/issues/353,2j0ssMKrfg83R0eQ6ZtQ,face,Compact Powder,COM112,ITS-FAC-CPD-112-10G,Natural look,112,#e6c8aa,"1,199",500,10 gms,Flowless in a flash,Say goodbye to unwanted shine and hello to a flawless matte finish with It's Me Compact Powder!,"Say goodbye to unwanted shine and hello to a flawless matte finish with It's Me Compact Powder! This ultra-lightweight formula absorbs excess oil, blurs imperfections, and sets your makeup for an all-day fresh, airbrushed look. Designed for all skin types, it offers a breathable, non-cakey feel that blends seamlessly for natural, even-toned skin. Whether you wear it alone or over foundation, expect a smooth, photo-ready finish that lasts! Available in versatile shades to match every skin tone.","Long-Lasting Oil Control – Absorbs excess oil for a shine-free look all day.
Flawless Matte Finish – Smooths skin texture, blurring pores & fine lines instantly.
Feather-Light & Breathable – Feels ultra-comfortable, never cakey or heavy.
Buildable, Custom Coverage – Wear it lightly for a natural look or layer for extra coverage.
Dermatologist-Tested & Suitable for All Skin Types – Gentle, non-clogging formula ideal for daily use","Talc, Calcium Carbonate, Titanium Dioxide, Zinc Oxide, Zinc Stearate, Kaolin, Dimithicone-350, Capryl Glycol, Octyl Methoxycinnamate (OMC), Magnesium Stearate, Tocopheryl Acetate, Aqua May Contain CI 77891, CI 77491, CI 77492, CI 77500","Use a soft brush or sponge to gently press the powder onto your skin.
Apply on T-zone (forehead, nose, chin) for the best oil control.
Wear alone for a fresh, natural look or over foundation for a flawless matte finish.
Reapply as needed throughout the day for touch-ups & extra oil absorption","Discontinue use if irritation occurs, FOR EXTERNAL USE ONLY",Experience the convenience of swift order fulfillment with our top-notch Shipping services.,
